"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"severity_score_1","NA","NA","NA",0.0569673437148812,NA,0.0398353011960988,0.0740993862336636,"Regions","gaza"
"severity_score_1","NA","NA","NA",0.263243767049711,NA,0.178882160917181,0.347605373182241,"Regions","west_bank"
"severity_score_2","NA","NA","NA",0.293762416184552,NA,0.264599979616787,0.322924852752317,"Regions","gaza"
"severity_score_2","NA","NA","NA",0.391778726440116,NA,0.338072334185607,0.445485118694625,"Regions","west_bank"
"severity_score_3","NA","NA","NA",0.365643173755549,NA,0.336290225516407,0.394996121994692,"Regions","gaza"
"severity_score_3","NA","NA","NA",0.230042480897158,NA,0.160827000529236,0.29925796126508,"Regions","west_bank"
"severity_score_4","NA","NA","NA",0.283627066345017,NA,0.258068917514883,0.309185215175151,"Regions","gaza"
"severity_score_4","NA","NA","NA",0.114935025613015,NA,0.0726240554574482,0.157245995768582,"Regions","west_bank"
"severity_score_5","NA","NA","NA",0,NA,0,0,"Regions","gaza"
"severity_score_5","NA","NA","NA",0,NA,0,0,"Regions","west_bank"
"lsg_all","NA","NA","NA",0.649270240100566,NA,0.618654472728225,0.679886007472907,"Regions","gaza"
"lsg_all","NA","NA","NA",0.344977506510173,NA,0.276078358008833,0.413876655011514,"Regions","west_bank"
"lsg_edu","NA","NA","NA",0.0382583618396827,NA,0.0259355582998793,0.0505811653794861,"Regions","gaza"
"lsg_edu","NA","NA","NA",0.0452332769726062,NA,0.0168857660906049,0.0735807878546075,"Regions","west_bank"
"lsg_liv","NA","NA","NA",0.409132566556971,NA,0.379491822446315,0.438773310667627,"Regions","gaza"
"lsg_liv","NA","NA","NA",0.143565106643241,NA,0.0972147876047599,0.189915425681722,"Regions","west_bank"
"lsg_fs","NA","NA","NA",0.0668789721192992,NA,0.051407560090102,0.0823503841484965,"Regions","gaza"
"lsg_fs","NA","NA","NA",0.0665134941742219,NA,0.0326888532355091,0.100338135112935,"Regions","west_bank"
"lsg_prt","NA","NA","NA",0.205718295075578,NA,0.183096372174741,0.228340217976416,"Regions","gaza"
"lsg_prt","NA","NA","NA",0.129008313263326,NA,0.0518621078287843,0.206154518697868,"Regions","west_bank"
"lsg_hlth","NA","NA","NA",0.0605155373534188,NA,0.0466746418890471,0.0743564328177905,"Regions","gaza"
"lsg_hlth","NA","NA","NA",0.0290569433560174,NA,0.00433645042467426,0.0537774362873604,"Regions","west_bank"
"lsg_snfi","NA","NA","NA",0.268293538921378,NA,0.24341126295446,0.293175814888297,"Regions","gaza"
"lsg_snfi","NA","NA","NA",0.0209250260103264,NA,0.000655872565678051,0.0411941794549748,"Regions","west_bank"
"lsg_wash","NA","NA","NA",0.0108575698785011,NA,0.00613571635190887,0.0155794234050933,"Regions","gaza"
"lsg_wash","NA","NA","NA",0.0085612407474981,NA,-0.00681147894027449,0.0239339604352707,"Regions","west_bank"
"prt_1","NA","NA","NA",0.202802533525727,NA,0.180277798013726,0.225327269037729,"Regions","gaza"
"prt_1","NA","NA","NA",0.128213706631304,NA,0.0508514400839943,0.205575973178614,"Regions","west_bank"
"prt_2","NA","NA","NA",0.0458128290987277,NA,0.0334357220504732,0.0581899361469821,"Regions","gaza"
"prt_2","NA","NA","NA",0.0295434354623381,NA,0.0115634604346831,0.0475234104899931,"Regions","west_bank"
"prt_3","NA","NA","NA",0.0653343309914075,NA,0.0492951830832775,0.0813734788995375,"Regions","gaza"
"prt_3","NA","NA","NA",0.0388898693559509,NA,0.0158936243739141,0.0618861143379877,"Regions","west_bank"
"prt_4","NA","NA","NA",0.210779530907875,NA,0.130344024257818,0.291215037557932,"Regions","gaza"
"prt_4","NA","NA","NA",0.190695871008986,NA,0.0422626592017688,0.339129082816202,"Regions","west_bank"
"prt_5","NA","NA","NA",0.705876623728973,NA,0.671973437804805,0.739779809653141,"Regions","gaza"
"prt_5",NA,NA,NA,NA,NA,NA,NA,"Regions","west_bank"
"prt_6",NA,NA,NA,NA,NA,NA,NA,"Regions","gaza"
"prt_6","NA","NA","NA",0.0259908681240285,NA,0.00689697614057789,0.045084760107479,"Regions","west_bank"
"prt_7","NA","NA","NA",0.0942117730041353,NA,0.0762058255275218,0.112217720480749,"Regions","gaza"
"prt_7",NA,NA,NA,NA,NA,NA,NA,"Regions","west_bank"
"prt_8","NA","NA","NA",0.148202863602923,NA,0.127045603127065,0.169360124078781,"Regions","gaza"
"prt_8","NA","NA","NA",0.100688211414744,NA,0.0644974206268602,0.136879002202628,"Regions","west_bank"
"prt_9","NA","NA","NA",0.101213480248134,NA,0.0785316384011717,0.123895322095096,"Regions","gaza"
"prt_9","NA","NA","NA",0.0946618107963544,NA,0.0400038999656678,0.149319721627041,"Regions","west_bank"
"liv_1","NA","NA","NA",0.136457789396621,NA,0.116661943013968,0.156253635779273,"Regions","gaza"
"liv_1","NA","NA","NA",0.049472936719993,NA,0.0204068219111799,0.0785390515288061,"Regions","west_bank"
"liv_2","NA","NA","NA",0.302998033527971,NA,0.275509286578961,0.330486780476981,"Regions","gaza"
"liv_2","NA","NA","NA",0.0236745621639404,NA,-0.00228568851646184,0.0496348128443427,"Regions","west_bank"
"liv_3","NA","NA","NA",0.369588433783423,NA,0.339598115267814,0.399578752299033,"Regions","gaza"
"liv_3","NA","NA","NA",0.361418497460734,NA,0.277401736722114,0.445435258199355,"Regions","west_bank"
"liv_4","NA","NA","NA",0.417239628657806,NA,0.387647054282214,0.446832203033399,"Regions","gaza"
"liv_4","NA","NA","NA",0.175782329797209,NA,0.126531313484711,0.225033346109706,"Regions","west_bank"
"wash_1","NA","NA","NA",0.846222599089277,NA,0.827598070756993,0.864847127421561,"Regions","gaza"
"wash_1","NA","NA","NA",0.0115205850136738,NA,-0.00425697568856444,0.027298145715912,"Regions","west_bank"
"wash_2","NA","NA","NA",0.178917277867786,NA,0.155343601583163,0.202490954152408,"Regions","gaza"
"wash_2","NA","NA","NA",0.174646590181065,NA,0.109546790498772,0.239746389863358,"Regions","west_bank"
